상품명,판매처,가격,용돈박스형태,결합상품유형,구성,사이즈,리뷰수,평점,URL,비고
"파덴코 서프라이즈 용돈박스 용돈이벤트 반전용돈박스 환갑 칠순, 핑크.세상예쁜 우리엄마",쿠팡,19900,박스형,조화 장식,용돈박스 1개 + 메시지 카드 1개 + LED 전구 + 조화 장식 + 용돈 비닐 20장,미기재,1149,4.9,https://www.coupang.com/vp/products/8523417975,"쿠팡 ""용돈박스"" 키워드 검색 판매량 1위 상품"
"퍼플기프트샵 용돈박스 어버이날 부모님 환갑 칠순 생신선물, 코랄핑크, 1박스",쿠팡,27900,박스형,조화 장식,용돈박스 1개 + 메시지 카드 1개 + LED 전구(배터리 포함) + 투명 플라워 볼 1개 + 용돈 비닐 50장,중,522,4.9,https://www.coupang.com/vp/products/7959812759,상세페이지에 다른 용돈박스 타입도 함께 보여줌
"라알레그리아 비누꽃 프리저브드 반전 용돈박스, 살구핑크, 1개",쿠팡,24500,패키지형,조화 장식,용돈박스 1개 + 메시지 카드 1개 + 쇼핑백 1개 + 설명서 1개 + 용돈 비닐 30장 + 조화 장식,소,1691,4.9,https://www.coupang.com/vp/products/8491169693,
풍선+박스 용돈 풍선 박스 헬륨 생신 환갑 칠순 팔순,쿠팡,44000,박스형,풍선,용돈박스 1개 + 용돈 비닐 100장 + 벌룬 인 벌룬 1개,대,562,4.9,https://www.coupang.com/vp/products/7747510024,"옵션이 매우 다양함(색깔별, 본품 아래 용돈/태슬 택일, 박스 일반/오픈 택일, 문구 커스텀)"
"뷰티풀데코센스 조화 비누꽃 용돈박스 + 감사편지봉투 + 머니캡 12p + 보자기 + 고급태슬 + 쇼핑백 세트, 퍼플, 1개",쿠팡,15210,패키지형,조화 장식,용돈박스 1개 + 쇼핑백 1개 + 용돈 봉투 1개 + 보자기 1개 + 고급 태슬 1개 + 용돈 비닐 12장 ,소,1507,4.5,https://www.coupang.com/vp/products/8492597078,"구성이 매우 알찬데 가격은 싼 편, 용돈 봉투는 추가 용돈 or 손편지로 활용 가능"
"라솔트 비누꽃 목화 앤 플라워 용돈박스 + 쇼핑백, 러블리핑크, 1개",쿠팡,24600,패키지형,조화 장식,용돈박스 1개 + 용돈 봉투 1개 + 쇼핑백 1개 + 용돈 비닐 12장,소,3232,4.9,https://www.coupang.com/vp/products/211120551,
"코지치 부모님 용돈상장 감사 생신, 1개, 최고의 아버지상",쿠팡,13800,상장형,상장,용돈박스 1개 + 용돈 봉투 1개 + 엽서 1장 + 용돈 비닐 20장,중,1611,4.9,https://www.coupang.com/vp/products/8686404411,실제 상장과 재질 유사
"디피트 부모님 황금 용돈 상장 생신 감사 이벤트(+금메달), 1개, 최고의 아버지상",쿠팡,11800,상장형,상장,용돈박스 1개 + 메시지 카드 1개 + 금메달 1개 +스티커 1개 + 용돈 비닐 20장,미기재,895,4.9,https://www.coupang.com/vp/products/8864191002,
"뷰티풀데코센스 비누꽃 돈꽃다발 10p + 쇼핑백, 레드, 1개",쿠팡,15000,꽃다발형,꽃다발,용돈박스 1개 + 쇼핑백 1개 + 용돈 비닐 10장,대,4781,4.9,https://www.coupang.com/vp/products/6060817416,
옛날이불 용돈 박스 이벤트 부모님 생신 선물,아이디어스,18900,케이스형,미니어처 장식,용돈박스 1개 + 투명 상자 1개 + 전통 배경지 1개 + 망사 주머니 1개 + 미니어처 이불 3개 + 용돈 비닐 10장 + 투명 쇼핑백 1개(옵션) + 전통 태슬 1개(옵션),소,30,4.9,https://www.idus.com/v2/product/a330b4aa-dbc1-4723-934f-cd02a8c82cf5,
부모님 환갑 칠순 생신 용돈이벤트 돈방석(골드 베이지),아이디어스,27500,방석형,방석,방석솜 1개 + 방석 커버 1개 + 용돈 비닐 10장 + 리본 문구 1개(옵션) + 접이식 받침대 1개(옵션) + 쇼핑백 1개(옵션) + 용돈 비닐 추가 구매(100매까지 가능),대,210,5,https://www.idus.com/v2/product/9ef2c6ec-00b7-4c4b-8ce0-531e3d38ab7b,구성이 알차고 아이디어도 좋음
포토 머그컵 용돈상자 생일 결혼기념일 부모님 선물,아이디어스,24900,패키지형,머그컵,용돈박스 1개 + 포토 머그컵 1개,중,,,https://www.idus.com/v2/product/5d1034af-f966-4c86-bf94-271e13fb0df1,"후기 없음, 신상품으로 추정"
가정의달 반전 용돈 우산 이벤트 박스 부모님 생신 어버이날 선물,오늘의집,19800,우산형,우산,우산 1개 + 돈걸이 끈 20개 + 스티커 1장 + 용돈 비닐 20장 + 고급 케이스 1개(옵션) + 리본 1개(옵션),대,33,4.7,https://store.ohou.se/goods/1294838,
미니과일박스 뇌물박스 용돈박스1탄 생일 생신선물,아이디어스,8395,패키지형,미니어처 장식,용돈박스 1개 + 밴딩끈 2개 + 리본 1개 + 메시지 카드 1개 + 용돈 1비닐 18장 + 미니어처 소품 20개,소,1303,4.8,https://www.idus.com/v2/product/d42eb04a-4feb-41cf-8d42-d483d2ad0a87,
추석 부모님 선물🎁 포토 용돈박스,아이디어스,38000,패키지형,액자,용돈박스 1개 + 사진 원목 인쇄본 1개 + 미니 꽃다발 1개 + 용돈 비닐 10장,,532,5,https://www.idus.com/v2/product/b9815858-8dd0-4ed4-bcb9-1f1d7dd727ac,
💕당일발송💕답례품 골드바비누🍀네잎클로버비누 돌결혼,아이디어스,9910,패키지형,비누,용돈박스 1개 + 비누 1개 + 용돈 비닐 10장 + 쇼핑백 1개(옵션),,479,5,https://www.idus.com/v2/product/55f491e9-7e20-43eb-bd82-8717f8a8d27a,"비누가 주 상품, 용돈박스는 추가 구성"
카네이션 반전 용돈박스 어버이날 생신 선물 용돈티슈,쿠팡,23650,케이크형,조화 장식,용돈박스 1개 + 조화 장식 1개 + 설명서 1개 + 메시지 카드 1개 + 용돈 비닐 50장 + 쇼핑백 1개,중,370,4.9,https://www.coupang.com/vp/products/6460426882,
골프 게임 용돈박스 어버이날 부모님 생신 생일 환갑 칠순 서프라이즈 반전 현금 선물,쿠팡,27390,패키지형,보드게임,용돈박스 1개 + 골프채 볼펜 1개 + 공 1개 + 엽서 1개 + 용돈 비닐 20장,중,28,4.9,https://www.coupang.com/vp/products/8715443655,
뽑으면 돈이 나오는 난초 용돈박스,쿠팡,23830,화분형,조화 화분,"난초 화분+받침 1개, 마사토 1개, 머니 깔개 1개, 조화 난초 1개, 난초 페이퍼 1개, 용돈 비닐 20장, 쇼핑백 1개",대,187,4.9,https://www.coupang.com/vp/products/8382579789,
돈케이크 3단 용돈박스 부모님 환갑 생신 현금 이벤트 선물 기본 제공 토퍼 살구핑크,네이버,29900,케이크형,조화 장식,케이크판 1개 + 3단 스티로폼 1개 + 공단리본 1개+ 조화 장식 1개 + 용돈 비닐 60장,,6245,4.8,https://smartstore.naver.com/yys032300/products/3911332273,
